business_status,formatted_address,name,opening_hours,place_id,plus_code,rating,types,user_ratings_total,permanently_closed,tag,price_level,results,lat,long
CLOSED_TEMPORARILY,"Cumbarjua, Goa 403107, India",HANUMAN TEMPLE,-1,ChIJQw7__NK9vzsRBcpxNnbxic8,"{'compound_code': 'GW8V+8X Cumbarjua, Goa', 'global_code': '7J7MGW8V+8X'}",4.8,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",12,TRUE,hindu_temple,-1,-1,15.5157974,73.9449969
CLOSED_TEMPORARILY,"Mangaddo, Carambolim, Gandaulim, Goa 403110, India",Shri Datta Mandir,-1,ChIJfwT2TU29vzsR76sT8IIW3iE,"{'compound_code': 'GW3Q+4V Carambolim, Corlim, Goa', 'global_code': '7J7MGW3Q+4V'}",5,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",1,TRUE,hindu_temple,-1,-1,15.5027548,73.9396851
CLOSED_TEMPORARILY,"Piedade, Goa 403403, India",Shri Ram,-1,ChIJCUFjgka-vzsRaTt4UQFde_w,"{'compound_code': 'GWH3+CJ Piedade, Goa', 'global_code': '7J7MGWH3+CJ'}",5,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",2,TRUE,hindu_temple,-1,-1,15.5285949,73.904085
CLOSED_TEMPORARILY,"Golwada, Goa 403107, India",shri pandurang devastan\ manda/brhameshwar yuvak shang mandap,-1,ChIJPVPuuka_vzsRMw-dNoZLn48,"{'compound_code': 'GWMM+Q8 Golwada, Goa', 'global_code': '7J7MGWMM+Q8'}",4.7,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",3,TRUE,hindu_temple,-1,-1,15.5344691,73.9332963
CLOSED_TEMPORARILY,"Candola, Goa 403107, India",Vishnu temple,-1,ChIJk1cXcmq9vzsR1diCI6GrleE,"{'compound_code': 'GX88+6G Candola, Goa', 'global_code': '7J7MGX88+6G'}",0,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",0,TRUE,hindu_temple,-1,-1,15.5155848,73.9663657
CLOSED_TEMPORARILY,"Tivrem, Goa 403107, India",Mahalasa temple,-1,ChIJDcR_gUO8vzsRUbFl0PsiOSA,"{'compound_code': 'FXX9+46 Tivrem, Goa', 'global_code': '7J7MFXX9+46'}",4.5,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",40,TRUE,hindu_temple,-1,-1,15.4978055,73.9681192
CLOSED_TEMPORARILY,"Ribandar, Goa 403006, India",Shri Vithal Mandir,-1,ChIJby2YY2q_vzsR_1-DpUKH7FM,"{'compound_code': 'FVXJ+P8 Ribandar, Goa', 'global_code': '7J7MFVXJ+P8'}",5,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",1,TRUE,hindu_temple,-1,-1,15.4993702,73.8808693
CLOSED_TEMPORARILY,"Marcela, Goa, India",Saibaba Mandir,-1,ChIJe-HQ6sy9vzsRwQsThgCcmSA,"{'compound_code': 'GX82+6R Orgao, Goa', 'global_code': '7J7MGX82+6R'}",4.6,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",39,TRUE,hindu_temple,-1,-1,15.5155928,73.9521115
CLOSED_TEMPORARILY,"Manas wada, kundaim, Goa 403115, India",Mallikarjun Temple,-1,ChIJX7PjSvO7vzsRDVQIyDNML60,"{'compound_code': 'FX65+VP Carambolim, Corlim, Goa', 'global_code': '7J7MFX65+VP'}",4.3,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",4,TRUE,hindu_temple,-1,-1,15.4621567,73.9593719
CLOSED_TEMPORARILY,"Naroa, Goa 403403, India",Koti Tirth Tali,-1,ChIJM2bvRHK-vzsRzszLgmWgj9I,"{'compound_code': 'GWJG+CF Naroa, Goa', 'global_code': '7J7MGWJG+CF'}",4.4,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",41,TRUE,hindu_temple,-1,-1,15.5311092,73.9262459
