business_status,formatted_address,name,permanently_closed,place_id,plus_code,rating,types,user_ratings_total,opening_hours,tag,price_level,results,lat,long
CLOSED_TEMPORARILY,"Mahaaban, Mahaban Bangar, Uttar Pradesh 281305, India",Dr B R Ambedakar Park,TRUE,ChIJSdXwT3x3czkRDYu0mhCkwa4,"{'compound_code': 'CPPR+8M Mahaban Bangar, Uttar Pradesh', 'global_code': '7JVVCPPR+8M'}",3.7,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",7,-1,campground,-1,-1,27.4358017,77.741654
OPERATIONAL,"Manger - Dhauj Rd, Mangar, Haryana 121004, India",Camp Wild Dhauj at Aravali Valley,-1,ChIJqZXP9KMgDTkRT7wgNIRfpc4,"{'compound_code': '956P+WP Mangar, Haryana', 'global_code': '7JWV956P+WP'}",3.9,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",785,{'open_now': True},campground,-1,-1,28.362267,77.1868066
CLOSED_TEMPORARILY,"opposite hotel Oberoi Amarvilas, Road,, Taj East Gate Rd, Agra, India",Agra Beat Walking Tours,TRUE,ChIJkYDttxtxdDkRxpzwKLpzrCA,"{'compound_code': '529X+JR Agra, Uttar Pradesh', 'global_code': '7JVW529X+JR'}",4.3,"['travel_agency', 'point_of_interest', 'establishment']",8,-1,campground,-1,-1,27.1690656,78.0495787
OPERATIONAL,"MIG 1 & 2, Shilpgram Road Taj Nagri, Phase 1, Taj East Gate, MIG Colony, Agra, Uttar Pradesh 282001, India",Moustache Agra,-1,ChIJRbIu3g9xdDkRAsxxN9O2CXE,"{'compound_code': '5373+GG Agra, Uttar Pradesh', 'global_code': '7JVW5373+GG'}",4,"['lodging', 'point_of_interest', 'establishment']",416,{'open_now': True},campground,-1,-1,27.1638665,78.0537545
OPERATIONAL,"Taj East Gate Rd, near Taj Mahal, Dharmapuri, Forest Colony, Tajganj, Agra, Uttar Pradesh 282001, India",Hotel Taj Khema,-1,ChIJAQDNSx9xdDkR_GrhDaoSo_U,"{'compound_code': '52CW+FG Tajganj, Agra, Uttar Pradesh', 'global_code': '7JVW52CW+FG'}",3.8,"['lodging', 'point_of_interest', 'establishment']",157,{'open_now': True},campground,-1,-1,27.1712412,78.0462572
OPERATIONAL,"Anantpura, Rajasthan 303704, India","Rocksport Camp, Jaipur",-1,ChIJlYCejJirbTkRdk0y-Ab6ca0,"{'compound_code': '4QJ3+PG Anantpura, Rajasthan', 'global_code': '7JVQ4QJ3+PG'}",4.4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",36,{'open_now': True},campground,-1,-1,27.1318642,75.7538188
OPERATIONAL,"Village Sevli, Jakholi, road, Rai, Haryana 131023, India","Rocksport Camp, Kundli",-1,ChIJTyaQ-7ytDTkRKykzXjev2cw,"{'compound_code': 'W4PM+2G Rai, Haryana', 'global_code': '7JWVW4PM+2G'}",4.3,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",37,{'open_now': False},campground,-1,-1,28.9350947,77.1338307
OPERATIONAL,"Kasiyalek, Chaukhuta Mukteshwar Mukteshwar, Dist:, Nainital, Uttarakhand 263137, India",Neelkanth Camping,-1,ChIJjcuuyQa9oDkRzLEs_YcDIrc,"{'compound_code': 'CJ9W+RP South Gola Range, Uttarakhand', 'global_code': '7JXXCJ9W+RP'}",4.9,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",48,{'open_now': True},campground,-1,-1,29.4195936,79.6468392
CLOSED_TEMPORARILY,"Chhoti Haldwani, Uttarakhand 263140, India",YHAI Base Camp,TRUE,ChIJYf1BY7Z1CjkRHc8ug8XH0I8,"{'compound_code': '78VR+VM Chhoti Haldwani, Uttarakhand', 'global_code': '7JXX78VR+VM'}",4.1,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",19,-1,campground,-1,-1,29.2946294,79.3417151
CLOSED_TEMPORARILY,"Near, Badshahpur, Garat Pur Bas, Haryana 122102, India",Camp Mustang,TRUE,ChIJnw07rrI8DTkRv9FfOOH-pt0,"{'compound_code': '82R6+23 Garat Pur Bas, Haryana', 'global_code': '7JWV82R6+23'}",3.9,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",423,-1,campground,-1,-1,28.340102,77.010205
