business_status,formatted_address,name,permanently_closed,place_id,plus_code,rating,types,user_ratings_total,opening_hours,tag,price_level,lat,long
OPERATIONAL,"Dr Babasaheb Ambedkar Marathwada University Campus, Aurangabad, Maharashtra 431004, India",Goga Baba Hill,-1,ChIJi4Y6qiCY2zsRkagXVJJmSS0,"{'compound_code': 'W843+HQ Dr Babasaheb Ambedkar Marathwada University Campus, Aurangabad, Maharashtra', 'global_code': '7JFQW843+HQ'}",4.5,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1663,{},campground,-1,19.9064753,75.3043827
OPERATIONAL,"Fatiyabad, Maharashtra 431002, India",Coconut Valley Farms,-1,ChIJc919KlaQ2zsRFw10dJTWKUQ,"{'compound_code': 'W6M2+5F Fatiyabad, Maharashtra', 'global_code': '7JFQW6M2+5F'}",4.6,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",9,-1,campground,-1,19.932973,75.201204
CLOSED_TEMPORARILY,"Randha fall, Bhandardara, Maharashtra 422604, India",Randha Fall Adventure Camping and Kayaking,TRUE,ChIJExk9mgJ13TsRCNgyyWAQFkU,"{'compound_code': 'GRR3+3P Bhandardara, Maharashtra', 'global_code': '7JFMGRR3+3P'}",4.4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",2233,-1,campground,-1,19.5401598,73.8043533
CLOSED_TEMPORARILY,"Ratangad to Rajur Rd, Bhandardara, Maharashtra 422604, India",CAMP AT BHANDARDARA,TRUE,ChIJJ1-IgzR03TsRQ7omwWtDQTc,"{'compound_code': 'GQM8+Q8 Bhandardara, Maharashtra', 'global_code': '7JFMGQM8+Q8'}",5,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",6,-1,campground,-1,19.5344322,73.7657936
CLOSED_TEMPORARILY,"Ahmednagar-Kalyan Rd, near Khubi, behind Saj By The Lake, Phata, Khubi, Maharashtra 412409, India",GreenScapein Trekking and CAMPING,TRUE,ChIJ2zdmdjZt3TsRb2LEcTYUo9o,"{'compound_code': '8RJ6+C4 Khubi, Maharashtra', 'global_code': '7JFM8RJ6+C4'}",4.6,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",9,-1,campground,-1,19.331042,73.810374
CLOSED_TEMPORARILY,"Post Tal, Thakursai, Pavana Nagar, Maval, Lonavla, Maharashtra 410406, India",Pavana Lake Camping,TRUE,ChIJpZC3wkOowjsRAlcddVDy22M,"{'compound_code': 'MF3W+G8 Maval, Lonavla, Maharashtra', 'global_code': '7JCMMF3W+G8'}",4.4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",756,-1,campground,-1,18.6538722,73.4957936
CLOSED_TEMPORARILY,"Pawna Camping, Lonavla, Maharashtra 412101, India",Pawana Lakeside Camping,TRUE,ChIJ_Te2e7WpwjsRWiF3QG_RiJk,"{'compound_code': 'MFMQ+Q9 Lonavla, Maharashtra', 'global_code': '7JCMMFMQ+Q9'}",4.4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",211,-1,campground,-1,18.684417,73.488477
OPERATIONAL,"Thakursai - Ajivali Road, Thakursai Pawana Nagar Tal, Dist, Maval, Lonavla, Maharashtra 410406, India",Pawna Lake Camping Pawnacamp,-1,ChIJR9jZ70KowjsRBZpaWXW8QZA,"{'compound_code': 'MF5W+H9 Lonavla, Maharashtra', 'global_code': '7JCMMF5W+H9'}",4.3,"['campground', 'tourist_attraction', 'lodging', 'park', 'point_of_interest', 'establishment']",1843,{'open_now': True},campground,-1,18.6589078,73.4958896
CLOSED_TEMPORARILY,"Eden Hills, Pendhari, Maharashtra 421402, India",Malshej Nature Camp,TRUE,ChIJ3_YOgK1n3TsRl80hh84o1rQ,"{'compound_code': '7JPQ+FJ Pendhari, Maharashtra', 'global_code': '7JFM7JPQ+FJ'}",4.8,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",61,-1,campground,-1,19.2862306,73.6391064
CLOSED_TEMPORARILY,"Sayde, Igatpuri, Maharashtra 401604, India",Igatpuri Camping and Watersports - Treks and Trails,TRUE,ChIJiculVzFj5zsRLamxte_etXY,"{'compound_code': 'QC9Q+C3 Igatpuri, Maharashtra', 'global_code': '7JFMQC9Q+C3'}",4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",61,-1,campground,-1,19.7685223,73.4376296
