business_status,formatted_address,name,opening_hours,place_id,plus_code,rating,types,user_ratings_total,permanently_closed,tag,price_level,lat,long
CLOSED_TEMPORARILY,"Dallupura delhi 69 Kheda Devta Mandir subhedar Ram Kishan mohalla, Dallupura, Delhi, 110096, India",Pawan kumar,-1,ChIJfY71EtHlDDkRW9xJ5q6RcF8,"{'compound_code': 'J848+7R Dallupura, New Delhi, Delhi', 'global_code': '7JWVJ848+7R'}",5,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",2,TRUE,campground,-1,28.6057432,77.3170668
CLOSED_TEMPORARILY,"H-6/106, 1st Floor, Aggarwal Tower,, Netaji Subhash Place,, Pitampura, Behind P. P. Jewelers, New Delhi, Delhi 110034, India","estamp papers - Car bike motor insurance, Air & Railway Tickets, Voter ID Card, Pan Card, Passport, House Tax",-1,ChIJz7hd5cwDDTkR2rjxXcs19YI,"{'compound_code': 'M4VW+8H New Delhi, Delhi', 'global_code': '7JWVM4VW+8H'}",5,"['campground', 'finance', 'local_government_office', 'lodging', 'park', 'point_of_interest', 'store', 'establishment']",1,TRUE,campground,-1,28.693285,77.146462
OPERATIONAL,"GALAXY APARTMENTS, Block H, Block F, Vikaspuri, Delhi, 110018, India",Kumuda Hospitality,{'open_now': True},ChIJ__9TJ_AEDTkRL6EFSUYu8K4,"{'compound_code': 'J3V9+CW Vikaspuri, New Delhi, Delhi', 'global_code': '7JWVJ3V9+CW'}",5,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",2,-1,campground,-1,28.643617,77.06978
CLOSED_TEMPORARILY,"E-140,SUSHANT SHOPPING ARCADE, Gurugram, 122001, India",Kumbh Camp India,-1,ChIJu3HH3tMeDTkRc3fMcx1tjeI,"{'compound_code': 'F36H+7H Gurugram, Haryana', 'global_code': '7JWVF36H+7H'}",3.9,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",9,TRUE,campground,-1,28.460672,77.0789358
OPERATIONAL,"E-16-448, Sector 8, Rohini, Delhi, 110085, India",Star Vacation Holidays,{'open_now': True},ChIJIQe3RTwDDTkRkrMn89D8yas,"{'compound_code': 'P43F+73 Delhi', 'global_code': '7JWVP43F+73'}",0,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",0,-1,campground,-1,28.7031576,77.1227437
OPERATIONAL,"16/1, 2nd Floor, Doctor's Lane, Near Bangla Sweets, Gole Market, Connaught Place, Delhi, 110001, India",Uttarakhand Tourism,{'open_now': True},ChIJicczzrfkDDkRMq-eEJUBSjk,"{'compound_code': 'J6M5+HC Connaught Place, New Delhi, Delhi', 'global_code': '7JWVJ6M5+HC'}",5,"['campground', 'travel_agency', 'place_of_worship', 'lodging', 'park', 'point_of_interest', 'establishment']",8,-1,campground,-1,28.6339424,77.2085822
CLOSED_TEMPORARILY,"Golden Greens Golf Cross Rd, Haryana 122101, Haryana 122101, India",Escape A Secret Campsite,-1,ChIJYaVJysQ9DTkRpAOK2K1NTOw,"{'compound_code': '9274+RX Sakatpur, Gurugram, Haryana', 'global_code': '7JWV9274+RX'}",4.4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",9,TRUE,campground,-1,28.364604,77.007423
CLOSED_TEMPORARILY,"Manger - Dhauj Rd, VIllage Dhauj, Faridabad, Haryana 121004, India",Camp Wild at Dhauj,-1,ChIJyxwn27AhDTkRyfDgF15P9Pc,"{'compound_code': '956P+QH Faridabad, Haryana', 'global_code': '7JWV956P+QH'}",4.1,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",11,TRUE,campground,-1,28.3619306,77.1864712
OPERATIONAL,"Amitabh park, Sector 15, Noida, Uttar Pradesh 201301, India",Amitabh Park,-1,ChIJB3_x0mflDDkRvUZY9MnFztc,"{'compound_code': 'H8J3+29 Sector 15, Noida, Uttar Pradesh', 'global_code': '7JWVH8J3+29'}",4.3,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",232,-1,campground,-1,28.5800484,77.3034173
CLOSED_TEMPORARILY,"Shop No.3, A-8A, 60 Ft. Road, Suraj Kund Road, Pul Praladpur, Badarpur, Suraj Kund Badkhal Rd, Pulpharadpur, Block A, Pul Pehlad Pur, Faridabad, Haryana 110044, India",Multan Holidays,-1,ChIJXc84n9PmDDkRZE540dTTINI,"{'compound_code': 'F7XR+V4 Pul Pehlad Pur, New Delhi', 'global_code': '7JWVF7XR+V4'}",3.3,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",54,TRUE,campground,-1,28.4996818,77.2902842
