business_status,formatted_address,name,permanently_closed,place_id,plus_code,rating,types,user_ratings_total,opening_hours,tag,price_level,results,lat,long
CLOSED_TEMPORARILY,"Amer Palace and Fort, Amer Road, Devisinghpura, Amer, Jaipur, Rajasthan 302028, India",Chand Pol (Moon Gate),TRUE,ChIJNWQbG7OxbTkR3i3awnO4lOE,"{'compound_code': 'XVP2+V9 Jaipur, Rajasthan', 'global_code': '7JRQXVP2+V9'}",4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",63,-1,tourist_attraction,-1,-1,26.9871777,75.8509255
CLOSED_TEMPORARILY,"Jaisingpurakhor jaipur Ner, Link Rd, Jaipur, Rajasthan 303027, India",Raj tour&travels jai sing pura khor jaiput,TRUE,ChIJwzRV5FuxbTkRTr6ldx78sXM,"{'compound_code': 'WRHC+R5 Jaipur, Rajasthan', 'global_code': '7JRQWRHC+R5'}",0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,-1,tourist_attraction,-1,-1,26.9295936,75.8203955
OPERATIONAL,"Museum Rd, Ram Niwas Garden, Kailash Puri, Ramniwas Bagh, Jaipur, Rajasthan 302004, India",Jaipur Zoo,-1,ChIJlUU0la22bTkRYjOPfx2lY9E,"{'compound_code': 'WR6C+WF Jaipur, Rajasthan', 'global_code': '7JRQWR6C+WF'}",3.4,"['zoo', 'tourist_attraction', 'point_of_interest', 'establishment']",5525,{'open_now': False},zoo,-1,-1,26.9123097,75.8211759
OPERATIONAL,"Village Sanjharia, Before Toll Gate, Via Vatika City Thikaria, 22 Milestone,, Ajmer-Jaipur Expressway, Jaipur, Rajasthan 302026, India",SwapanLok Resort,-1,ChIJEQ9GvxFJbDkRYOQzp22y85A,"{'compound_code': 'VH7Q+RX Jaipur, Rajasthan', 'global_code': '7JRQVH7Q+RX'}",3.9,"['amusement_park', 'lodging', 'point_of_interest', 'establishment']",1217,{'open_now': True},amusement_park,-1,-1,26.8645821,75.5898846
OPERATIONAL,"village - sohanpur , alwar - sikendra -jaipur highway, RJ SH 25, Alwar, Rajasthan 301001, India",SARISKA FUN CITY,-1,ChIJH3MHz3iFcjkRXmBeWRQMJ6w,"{'compound_code': 'CJV7+V7 Alwar, Rajasthan', 'global_code': '7JVRCJV7+V7'}",4.1,"['amusement_park', 'point_of_interest', 'establishment']",25,{},amusement_park,-1,-1,27.4447346,76.6131825
CLOSED_TEMPORARILY,"Laxmipura, Jaipur, Rajasthan 303305, India",Aalyali Ki Talayi,TRUE,ChIJmxdXpN2SbTkReda_txStBaU,"{'compound_code': 'V6RM+J5 Dayal Pura, Rajasthan', 'global_code': '7JRRV6RM+J5'}",4,"['amusement_park', 'point_of_interest', 'establishment']",3,-1,amusement_park,-1,-1,26.8915835,76.2329011
CLOSED_TEMPORARILY,"Kasra no 105/1 Village charanwas, tala road, Delhi - Jaipur Expy, Jaipur, Rajasthan 303002, India",Riverarch Wetlands Water & Play Park,TRUE,ChIJJ1h8NqChbTkR-4S8A5x_clw,"{'compound_code': '52F2+52 Chak Charanwas, Rajasthan', 'global_code': '7JVR52F2+52'}",5,"['amusement_park', 'point_of_interest', 'establishment']",10,-1,amusement_park,-1,-1,27.1729611,76.0000841
CLOSED_TEMPORARILY,"Jaipur, Rajasthan 303603, India",पंप हाउस पचकोडिया,TRUE,ChIJHwx38dZfbDkRaCMfF2XqjH8,"{'compound_code': '39CJ+2P Pachkodiya, Rajasthan', 'global_code': '7JVQ39CJ+2P'}",0,"['amusement_park', 'point_of_interest', 'establishment']",0,-1,amusement_park,-1,-1,27.0700885,75.381777
OPERATIONAL,"Ringus Road,Khatushyamji, Sikar, Near N.H-52,Jaipur-Sikar road,Bikaner, Highway, Khatoo, Rajasthan 332602, India",Golden Waterpark Khatu Shyam Ji,-1,ChIJIdqtLNrtbDkRZSkUk2zmeCk,"{'compound_code': '9CCH+W7 Khatoo, Rajasthan', 'global_code': '7JVQ9CCH+W7'}",4.4,"['amusement_park', 'point_of_interest', 'establishment']",1745,{'open_now': False},amusement_park,-1,-1,27.3723125,75.4282055
CLOSED_TEMPORARILY,"Rajasthan 303119, India",Highway Water Park &Resort,TRUE,ChIJk91POEkTbTkRSBpYJnxq_Bw,"{'compound_code': 'F3P2+J7 Neelka, Rajasthan', 'global_code': '7JVRF3P2+J7'}",4.4,"['amusement_park', 'point_of_interest', 'establishment']",12,-1,amusement_park,-1,-1,27.486612,76.0506362
CLOSED_TEMPORARILY,"Jaipur, Rajasthan 303604, India",The water park in korsina,TRUE,ChIJtSs9x5p3bDkRUWerr-HfyDs,"{'compound_code': 'V2QP+58 Korsina, Rajasthan', 'global_code': '7JRQV2QP+58'}",5,"['amusement_park', 'point_of_interest', 'establishment']",1,-1,amusement_park,-1,-1,26.8879074,75.0358085
CLOSED_TEMPORARILY,"State Highway 57, Tejya Ka Bas, Rajasthan, India",Water Park Irolav,TRUE,ChIJ30ckBfpubDkR26RUqg1RibQ,"{'compound_code': 'V6V5+33 Tejya Ka Bas, Rajasthan', 'global_code': '7JRQV6V5+33'}",3.9,"['amusement_park', 'point_of_interest', 'establishment']",23,-1,amusement_park,-1,-1,26.8926307,75.2076404
OPERATIONAL,"Golden Bagh Hotel Kati Ghati, Bhakera, Alwar - Jaipur Rd, Alwar, Rajasthan 301001, India",Golden Mizzle,-1,ChIJATzvZK6bcjkRlA5Y1VPjRI8,"{'compound_code': 'GH9R+92 Alwar, Rajasthan', 'global_code': '7JVRGH9R+92'}",3.9,"['amusement_park', 'lodging', 'point_of_interest', 'establishment']",140,{'open_now': False},amusement_park,-1,-1,27.5184002,76.5900815
OPERATIONAL,"43rd Milestone, Main Delhi-Jaipur Expressway, NH-8, Gurugram, 122001, India",Aapno Ghar Resort & Amusement Park,-1,ChIJ_7Pj9jU8DTkRK0UCrUnTjmY,"{'compound_code': '9W6R+XC Gurugram, Haryana', 'global_code': '7JWR9W6R+XC'}",4.7,"['lodging', 'point_of_interest', 'establishment']",3,-1,amusement_park,-1,-1,28.3624847,76.9410195
